Neighborhood,Fires,Population,Average,Average x 100
Allegheny Center,60,1419,0.0422832981,4.22832981
Allegheny West,42,540,0.07777777778,7.777777778
Allentown,120,2305,0.05206073753,5.206073753
Arlington,47,2040,0.02303921569,2.303921569
Banksville,57,4127,0.01381148534,1.381148534
Bedford,42,1386,0.0303030303,3.03030303
Beechview,137,7596,0.01803580832,1.803580832
Beltzhoover,124,1604,0.07730673317,7.730673317
Bloomfield,162,8665,0.01869590306,1.869590306
Bluff,131,5882,0.02227133628,2.227133628
Bon Air,19,759,0.02503293808,2.503293808
Brighton Heights,141,7105,0.01984517945,1.984517945
Brookline,178,13063,0.01362627268,1.362627268
California-Kirkbride,37,709,0.05218617772,5.218617772
Carrick,275,10290,0.0267249757,2.67249757
Central Business District,247,5477,0.04509768121,4.509768121
Central Lawrenceville,73,4720,0.01546610169,1.546610169
Central Northside,121,2972,0.04071332436,4.071332436
Central Oakland,88,5835,0.01508140531,1.508140531
Chateau,11,455,0.02417582418,2.417582418
Chartiers City,14,492,0.02845528455,2.845528455
Crafton Heights,79,3999,0.01975493873,1.975493873
Crawford-Roberts,98,2293,0.04273877017,4.273877017
Duquesne Heights,38,2397,0.01585314977,1.585314977
East Allegheny,117,1903,0.06148187073,6.148187073
East Carnegie,11,491,0.02240325866,2.240325866
East Hills,150,2892,0.05186721992,5.186721992
East Liberty,196,6187,0.03167932762,3.167932762
Elliott,67,2193,0.03055175559,3.055175559
Esplen,22,322,0.06832298137,6.832298137
Fairywood,23,1092,0.02106227106,2.106227106
Fineview,46,1140,0.04035087719,4.035087719
Friendship,30,1963,0.01528273051,1.528273051
Garfield,104,3643,0.02854790008,2.854790008
Glen Hazel,20,659,0.03034901366,3.034901366
Greenfield,109,7261,0.01501170638,1.501170638
Hays,19,321,0.05919003115,5.919003115
Hazelwood,230,3889,0.0591411674,5.91411674
Highland Park,76,6253,0.012154166,1.2154166
Homewood North,176,2617,0.06725257929,6.725257929
Homewood South,180,2260,0.0796460177,7.96460177
Homewood West,56,642,0.08722741433,8.722741433
Knoxville,162,3493,0.04637847123,4.637847123
Larimer,123,1545,0.07961165049,7.961165049
Lincoln Place,58,3155,0.01838351823,1.838351823
Lincoln-Lemington-Belmar,185,3636,0.05088008801,5.088008801
Lower Lawrenceville,53,2641,0.020068156,2.0068156
Manchester,70,2031,0.0344657804,3.44657804
Marshall-Shadeland,126,4046,0.03114186851,3.114186851
Middle Hill,101,1757,0.05748434832,5.748434832
Morningside,32,3252,0.009840098401,0.9840098401
Mount Washington,201,8710,0.02307692308,2.307692308
Mt. Oliver,17,443,0.03837471783,3.837471783
New Homestead,21,917,0.02290076336,2.290076336
North Oakland,118,10691,0.01103732111,1.103732111
North Shore,59,301,0.196013289,19.6013289
Northview Heights,62,1769,0.03504804975,3.504804975
Oakwood,13,1025,0.01268292683,1.268292683
Overbrook,54,3483,0.01550387597,1.550387597
Perry North,104,3758,0.02767429484,2.767429484
Perry South,155,3765,0.0411686587,4.11686587
Point Breeze,68,5348,0.01271503366,1.271503366
Point Breeze North,49,1988,0.02464788732,2.464788732
Polish Hill,37,1201,0.03080766028,3.080766028
Regent Square,8,971,0.008238928939,0.8238928939
Ridgemont,12,390,0.03076923077,3.076923077
Shadyside,165,15317,0.01077234445,1.077234445
Sheraden ,161,5147,0.03128035749,3.128035749
South Oakland,83,3329,0.02493241214,2.493241214
South Shore,23,29,0.7931034483,79.31034483
South Side Flats,239,7467,0.03200749967,3.200749967
South Side Slopes,94,4327,0.02172405824,2.172405824
Spring Garden,22,786,0.02798982188,2.798982188
Spring Hill-City,98,2364,0.04145516074,4.145516074
Squirrel Hill North,123,11879,0.01035440694,1.035440694
Squirrel Hill South,242,15317,0.01579943853,1.579943853
St. Clair,11,183,0.06010928962,6.010928962
Stanton Heights,54,4427,0.01219787667,1.219787667
Strip District,57,1845,0.03089430894,3.089430894
Summer Hill,21,998,0.02104208417,2.104208417
Swisshelm Park,16,1339,0.01194921583,1.194921583
Terrace Village,84,2320,0.03620689655,3.620689655
Troy Hill,76,2645,0.02873345936,2.873345936
Upper Hill,44,1723,0.02553685432,2.553685432
Upper Lawrenceville,49,2394,0.02046783626,2.046783626
West End,20,205,0.09756097561,9.756097561
West Oakland,58,2534,0.0228887135,2.28887135
Westwood,25,3332,0.0075030012,0.75030012
Windgap,19,134,0.1417910448,14.17910448